CompanyKey,Company,Year,WomenPct,BvdID,NACE,IncorpYear,NumDirectors,TotalAssets_m,ShareFunds_m,NetIncome_m,Revenue_m,MarketCap_m,Employees,ROA,TotalDebt_m,TobinQ,GenderDiv,GenderDivSq,Blau,FCA_Post,CriticalMass,GenderDiv_x_Post,FirmSize,Leverage,FirmAge,Industry
BURBERRY,Burberry Group Plc,2025,55.6,GB03458224,4771,1996.0,29.0,3091.0,946.0,21.0,2431.0,3927.626522593,7613.0,0.006793917825946296,2145.0,1.964615503912326,0.556,0.3091360000000001,0.49372799999999994,1,1,0.556,8.036249942132116,0.693950177935943,29.0,47
NEXT,Next Plc,2025,33.3,GB04412362,4791,2001.0,16.0,4915.3,1780.5,888.5,6901.3,16241.215834506,49181.0,0.18076211014587104,3134.8,3.941980313410372,0.33299999999999996,0.11088899999999997,0.444222,1,1,0.33299999999999996,8.500108068358424,0.6377637173722865,24.0,47
NEXT,Next Plc,2025,33.3,GB01579589,7320,1980.0,13.0,521.235,131.898,-30.244,627.831,354.106428737,3350.0,-0.05802373209780617,389.337,1.4263114118142488,0.33299999999999996,0.11088899999999997,0.444222,1,1,0.33299999999999996,6.268012441050478,0.7469509913954357,45.0,73
MARKS AND SPENCER,Marks & Spencer Group Plc,2025,66.7,GB04256886,4719,2000.0,21.0,10114.8,3222.9,259.4,17374.5,7003.285000912,64442.0,0.025645588642385416,6891.9,1.3737478744920315,0.667,0.44488900000000003,0.444222,1,1,0.667,9.221754976791436,0.6813678965476332,25.0,47
CONVATEC,Convatec Group Plc,2025,55.6,GB10361298,4690,2015.0,21.0,2810.00521011078,1128.16395370224,130.058426810205,1812.64287422909,4754.199981656,10741.0,0.04628405183813793,1681.84125640854,2.290401887835222,0.556,0.3091360000000001,0.49372799999999994,1,1,0.556,7.940941616458023,0.5985189103411791,10.0,46
DIAGEO,Diageo Plc,2025,77.8,GB00023307,1101,1886.0,23.0,35994.9011883697,9617.225738216941,1717.9351485629602,14774.6801540599,40678.96735225,29632.0,0.047727180568509005,26377.67545015276,1.8629483784794887,0.778,0.605284,0.34543199999999996,1,1,0.778,10.491132573750857,0.7328169984996553,139.0,11
HALEON,Haleon Plc,2025,58.3,GB13691224,2120,2020.0,29.0,32630.0,16484.0,1667.0,11044.0,33381.965959084,24384.0,0.051087955868832365,16146.0,1.517865950324364,0.583,0.33988899999999994,0.48622200000000004,1,1,0.583,10.392987389587367,0.49482071713147413,5.0,21
PEARSON,Pearson Plc,2025,63.6,GB00053723,5811,1897.0,27.0,6458.0,3663.0,335.0,3609.0,6676.05624,17062.0,0.051873645091359555,2795.0,1.4665618209972127,0.636,0.404496,0.463008,1,1,0.636,8.77307495131822,0.43279653143388047,128.0,58
ASTRAZENECA,AstraZeneca Plc,2025,50.0,GB02723534,2120,1991.0,33.0,84778.7713139848,36207.5228329508,7599.1280807677,43922.5887113321,213870.193667309,96100.0,0.08963479846415484,48571.248481034,3.095603275215804,0.5,0.25,0.5,1,1,0.5,11.347800452161657,0.5729175798166098,34.0,21
NATIONAL GRID,National Grid Plc,2025,41.7,GB04031152,3522,1999.0,50.0,108281.0,39330.0,3241.0,17687.0,63137.652114471,33026.0,0.029931382236957547,68951.0,1.2198691563106272,0.41700000000000004,0.17388900000000004,0.48622200000000004,1,1,0.41700000000000004,11.59248497900144,0.636778382172311,26.0,35
