CompanyKey,Company,Year,WomenPct
BURBERRY,Burberry Group Plc,2025,55.6
NEXT,Next Plc,2025,33.3
MARKS SPENCER,Marks & Spencer Group Plc,2025,66.7
PHOENIX,Phoenix Group Holdings Plc,2025,58.3
CONVATEC,Convatec Group Plc,2025,55.6
DIAGEO,Diageo Plc,2025,77.8
HALEON,Haleon Plc,2025,58.3
PEARSON,Pearson Plc,2025,63.6
ASTRAZENECA,AstraZeneca Plc,2025,50.0
NATIONAL GRID,National Grid Plc,2025,41.7
GSK,GSK Plc,2025,50.0
LLOYDS BANKING,Lloyds Banking Group Plc,2025,50.0
HALMA,Halma Plc,2025,54.5
SEVERN TRENT,Severn Trent Plc,2025,62.5
AUTO TRADER,Auto Trader Group Plc,2025,55.6
LAND SECURITIES,Land Securities Group Plc,2025,45.5
NATWEST,NatWest Group Plc,2025,60.0
LEGAL GENERAL,Legal & General Group Plc,2025,41.7
SPIRAX,Spirax Group Plc,2025,50.0
RELX,RELX Plc,2025,40.0
ST JAMES S PLACE,St. James's Place Plc,2025,44.4
BAE SYSTEMS,BAE Systems Plc,2025,41.7
SAGE,Sage Group Plc,2025,40.0
HSBC,HSBC Holdings Plc,2025,61.5
INFORMA,Informa Plc,2025,45.5
SSE,SSE Plc,2025,45.5
KINGFISHER,Kingfisher Plc,2025,37.5
BEAZLEY,Beazley Plc,2025,45.5
ANGLO AMERICAN,Anglo American Plc,2025,45.5
BUNZL,Bunzl Plc,2025,55.6
BARRATT REDROW,Barratt Redrow Plc,2025,50.0
SEGRO,SEGRO Plc,2025,44.4
EXPERIAN,Experian Plc,2025,44.4
RIGHTMOVE,Rightmove Plc,2025,50.0
COCA COLA HBC,Coca-Cola HBC AG,2025,35.7
UNITED,United Utilities Group Plc,2025,45.5
PRUDENTIAL,Prudential Plc,2025,33.3
COMPASS,Compass Group Plc,2025,41.7
DCC,DCC Plc,2025,36.4
HISCOX,Hiscox Ltd,2025,50.0
AVIVA,Aviva Plc,2025,46.2
WPP,WPP Plc,2025,45.5
CRODA,Croda International Plc,2025,33.3
MELROSE INDUSTRIES,Melrose Industries Plc,2025,40.0
J SAINSBURY,J Sainsbury Plc,2025,50.0
METLEN,Metlen Energy & Metals Plc,2025,35.7
HIKMA,Hikma Pharmaceuticals Plc,2025,45.5
BERKELEY,Berkeley Group Holdings Plc,2025,44.4
INTERCONTINENTAL HOTELS,InterContinental Hotels Group Plc,2025,40.0
ADMIRAL,Admiral Group Plc,2025,45.5
ENDEAVOUR,Endeavour Mining Plc,2025,40.0
IMPERIAL BRANDS,Imperial Brands Plc,2025,36.4
PERSIMMON,Persimmon Plc,2025,44.4
UNILEVER,Unilever Plc,2025,40.0
SCHRODERS,Schroders Plc,2025,58.3
SHELL,Shell Plc,2025,41.7
LONDON STOCK EXCHANGE,London Stock Exchange Group Plc,2025,33.3
DIPLOMA,Diploma Plc,2025,44.4
IMI,IMI Plc,2025,44.4
M G,M&G Plc,2025,40.0
TESCO,Tesco Plc,2025,36.4
BABCOCK,Babcock International Group Plc,2025,40.0
GLENCORE,Glencore Plc,2025,44.4
STANDARD CHARTERED,Standard Chartered Plc,2025,45.5
EASYJET,easyJet Plc,2025,40.0
WHITBREAD,Whitbread Plc,2025,50.0
LONDONMETRIC PROPERTY,Londonmetric Property Plc,2025,44.4
ICG,ICG Plc,2025,40.0
RIO TINTO,Rio Tinto Plc,2025,40.0
ENTAIN,Entain Plc,2025,36.4
RECKITT BENCKISER,Reckitt Benckiser Group Plc,2025,58.3
BRITISH AMERICAN,British American Tobacco Plc,2025,50.0
MONDI,Mondi Plc,2025,40.0
RENTOKIL INITIAL,Rentokil Initial Plc,2025,36.4
ROLLS ROYCE,Rolls-Royce Holdings Plc,2025,50.0
VODAFONE,Vodafone Group Plc,2025,46.2
BARCLAYS,Barclays Plc,2025,46.2
CENTRICA,Centrica Plc,2025,46.2
WEIR,Weir Group Plc,2025,44.4
ASSOCIATED BRITISH FOODS,Associated British Foods Plc,2025,60.0
INTERNATIONAL CONSOLIDATED AIRLINES,International Consolidated Airlines Group S.A.,2025,50.0
AIRTEL AFRICA,Airtel Africa Plc,2025,33.3
HOWDEN JOINERY,Howden Joinery Group Plc,2025,55.6
FRESNILLO,Fresnillo Plc,2025,38.5
COCA COLA EUROPACIFIC PARTNERS,Coca-Cola Europacific Partners Plc,2025,27.8
SMITHS,Smiths Group Plc,2025,27.3
SMITH NEPHEW,Smith & Nephew Plc,2025,30.8
JD SPORTS FASHION,JD Sports Fashion Plc,2025,30.0
INTERTEK,Intertek Group Plc,2025,30.8
ANTOFAGASTA,Antofagasta Plc,2025,30.8
ASHTEAD,Ashtead Group Plc,2025,22.2
GAMES WORKSHOP,Games Workshop Group Plc,2025,28.6
MARKS SPENCER,Marks & Spencer Group Plc,2024,60.0
PEARSON,Pearson Plc,2024,60.0
NEXT,Next Plc,2024,33.3
DIAGEO,Diageo Plc,2024,70.0
ASTRAZENECA,AstraZeneca Plc,2024,42.9
PHOENIX,Phoenix Group Holdings Plc,2024,41.7
NATIONAL GRID,National Grid Plc,2024,36.4
HALEON,Haleon Plc,2024,54.5
NATWEST,NatWest Group Plc,2024,50.0
SAGE,Sage Group Plc,2024,40.0
SEVERN TRENT,Severn Trent Plc,2024,66.7
LLOYDS BANKING,Lloyds Banking Group Plc,2024,50.0
GSK,GSK Plc,2024,50.0
LAND SECURITIES,Land Securities Group Plc,2024,50.0
WPP,WPP Plc,2024,41.7
RIGHTMOVE,Rightmove Plc,2024,37.5
CONVATEC,Convatec Group Plc,2024,44.4
LEGAL GENERAL,Legal & General Group Plc,2024,46.2
AUTO TRADER,Auto Trader Group Plc,2024,66.7
ST JAMES S PLACE,St. James's Place Plc,2024,44.4
BEAZLEY,Beazley Plc,2024,45.5
HARGREAVES LANSDOWN,Hargreaves Lansdown Plc,2024,44.4
RELX,RELX Plc,2024,40.0
HALMA,Halma Plc,2024,50.0
COCA COLA HBC,Coca-Cola HBC AG,2024,38.5
J SAINSBURY,J Sainsbury Plc,2024,44.4
BARRATT REDROW,Barratt Developments Plc,2024,41.7
UNILEVER,Unilever Plc,2024,40.0
UNITED,United Utilities Group Plc,2024,44.4
PRUDENTIAL,Prudential Plc,2024,45.5
KINGFISHER,Kingfisher Plc,2024,55.6
BRITISH LAND,British Land Company Plc,2024,50.0
BAE SYSTEMS,BAE Systems Plc,2024,41.7
HISCOX,Hiscox Ltd,2024,50.0
BUNZL,Bunzl Plc,2024,50.0
LONDONMETRIC PROPERTY,Londonmetric Property Plc,2024,40.0
