Company,BvdID,NACE,IncorpSerial,NumDirectors,Year,TotalAssets,ShareholdersFunds,NetIncome,Revenue,MarketCap,Employees,TotalAssets_m,MarketCap_m,ShareFunds_m,NetIncome_m,Revenue_m,IncorpYear,CompanyKey
SHELL PLC,GB04366849,0610,37292,23,2025,275240.790680911,130295504.742505,13256298.0515065,198742653.60418,157561.512190589,85000.0,275240.790680911,157561.512190589,130295.504742505,13256.298051506501,198742.65360418,2001.0,SHELL
GLENCORE PLC,GBJE107710,2399,2011,22,2025,105681.018479911,24975677.0936215,269778.336754883,184109222.610506,47744.235671579,,105681.018479911,47744.235671579,24975.6770936215,269.778336754883,184109.222610506,1904.0,GLENCORE
BP P.L.C.,GB00102498,1920,3395,34,2025,206998.019347081,54996134.7654582,40875.5055689216,140917933.853352,67663.792006979,93700.0,206998.019347081,67663.792006979,54996.1347654582,40.875505568921604,140917.933853352,1908.0,BP
TESCO PLC,GB00445790,4711,17498,24,2025,39474.0,11457000.0,1787000.0,73712000.0,30687.190003386,342303.0,39474.0,30687.190003386,11457.0,1787.0,73712.0,1946.0,TESCO
HSBC HOLDINGS PLC,GB00617987,6420,21551,33,2025,2402761.8049366,152849122.333415,17190751.2602677,53905873.5532835,201602.980438338,209000.0,2402761.8049366,201602.980438338,152849.122333415,17190.7512602677,53905.8735532835,1958.0,HSBC
UNILEVER PLC,GB00041424,2042,21/06/1894,22,2025,61538.7461015419,15357834.1117313,8268796.90703269,50817865.3720414,105970.649491301,96092.0,61538.7461015419,105970.649491301,15357.8341117313,8268.79690703269,50817.8653720414,1894.0,UNILEVER
ASTRAZENECA PLC,GB02723534,2120,33772,33,2025,84778.7713139848,36207522.8329508,7599128.0807677,43922588.7113321,213870.193667309,96100.0,84778.7713139848,213870.193667309,36207.5228329508,7599.1280807677,43922.5887113321,1991.0,ASTRAZENECA
RIO TINTO PLC,GB00719885,0710,22735,23,2025,95204.2548070909,49811634.2772982,7406641.6090886,43549506.8241394,75285.256496292,56890.0,95204.2548070909,75285.256496292,49811.634277298195,7406.6416090886,43549.506824139404,1961.0,RIO TINTO
VODAFONE GROUP PLC,GB01833679,6190,30880,28,2025,113179.401088107,47360628.551509,-345850.630643779,35248016.0364684,26157.321487745,91128.0,113179.401088107,26157.321487745,47360.628551509,-345.850630643779,35248.0160364684,1983.0,VODAFONE
COMPASS GROUP PLC,GB04083914,5610,36798,19,2025,19880.9284688436,5774883.20861788,1390139.41155905,34284648.1212662,,591767.0,19880.9284688436,,5774.88320861788,1390.13941155905,34284.648121266204,1999.0,COMPASS
GSK PLC,GB03888792,2120,36500,30,2025,61118.0,15956000.0,573000.0,34061000.0,74356.142342798,66841.0,61118.0,74356.142342798,15956.0,573.0,34061.0,1999.0,GSK
SAINSBURY (J) PLC,GB00185647,4711,8350,27,2025,18943.0,6150000.0,393000.0,33845000.0,7900.275291198,91.0,18943.0,7900.275291198,6150.0,393.0,33845.0,1921.0,SAINSBURY J
IMPERIAL BRANDS PLC,GB03236483,1200,35283,21,2025,28715.0,5432000.0,2071000.0,32171000.0,25494.581245248,25100.0,28715.0,25494.581245248,5432.0,2071.0,32171.0,1995.0,IMPERIAL BRANDS
BARCLAYS PLC,GB00048839,6420,20/07/1896,36,2025,1544165.0,78236000.0,7213000.0,29206000.0,65989.365841321,93000.0,1544165.0,65989.365841321,78236.0,7213.0,29206.0,1896.0,BARCLAYS
BAE SYSTEMS PLC,GB01470151,3030,29220,22,2025,37679.0,11937000.0,2062000.0,28494000.0,51437.411842705,104000.0,37679.0,51437.411842705,11937.0,2062.0,28494.0,1979.0,BAE SYSTEMS
BRITISH AMERICAN TOBACCO PLC,GB03407696,1200,35634,25,2025,109290.0,48145000.0,7764000.0,25802000.0,91842.702188619,47797.0,109290.0,91842.702188619,48145.0,7764.0,25802.0,1996.0,BRITISH AMERICAN TOBACCO
AVIVA PLC,GB02468686,6511,2000,46,2025,395304.0,10686000.0,1054000.0,25437000.0,20927.116827145,,395304.0,20927.116827145,10686.0,1054.0,25437.0,1904.0,AVIVA
ROLLS-ROYCE HOLDINGS PLC,GB07524813,3030,40584,43,2025,38115.0,2753000.0,5841000.0,21207000.0,97103.798348,43162.0,38115.0,97103.798348,2753.0,5841.0,21207.0,2010.0,ROLLS ROYCE
BT GROUP PLC,GB04190816,6190,36980,29,2025,49976.0,12564000.0,1077000.0,19958000.0,20981.882108048,77200.0,49976.0,20981.882108048,12564.0,1077.0,19958.0,2000.0,BT
CENTRICA PLC,GB03033654,3522,1995,19,2025,15415.0,3496000.0,-72000.0,19492000.0,7817.251962624,22066.0,15415.0,7817.251962624,3496.0,-72.0,19492.0,1904.0,CENTRICA
ASSOCIATED BRITISH FOODS PLC,GB00293262,1089,12712,11,2025,19291.0,11186000.0,1025000.0,19459000.0,14106.097444619,138155.0,19291.0,14106.097444619,11186.0,1025.0,19459.0,1933.0,ASSOCIATED BRITISH FOODS
LLOYDS BANKING GROUP PLC,GBSC095000,6420,31341,29,2025,944072.0,47867000.0,4757000.0,19422000.0,57896.658974292,64038.0,944072.0,57896.658974292,47867.0,4757.0,19422.0,1984.0,LLOYDS BANKING
NATIONAL GRID PLC,GB04031152,3522,36718,50,2025,108281.0,39330000.0,3241000.0,17687000.0,63137.652114471,33026.0,108281.0,63137.652114471,39330.0,3241.0,17687.0,1999.0,NATIONAL GRID
MARKS AND SPENCER GROUP PLC,GB04256886,4719,37095,21,2025,10114.8,3222900.0,259400.0,17374500.0,7003.285000912,64442.0,10114.8,7003.285000912,3222.9,259.4,17374.5,2000.0,MARKS AND SPENCER
ANGLO AMERICAN PLC,GB03564138,0710,35929,26,2025,41614.2374332036,17923537.596467,-2780277.56969701,16768618.7663923,36342.851340591,43000.0,41614.2374332036,36342.851340591,17923.537596467,-2780.2775696970098,16768.6187663923,1997.0,ANGLO AMERICAN
NATWEST GROUP PLC,GBSC045551,6420,24922,35,2025,714553.0,42613000.0,5834000.0,16677000.0,52174.281135388,59000.0,714553.0,52174.281135388,42613.0,5834.0,16677.0,1967.0,NATWEST
STANDARD CHARTERED PLC,GB00966425,6420,25525,30,2025,683702.285921042,40567824.4906392,3788044.57972352,15609983.981266,41231.919191599,81892.0,683702.285921042,41231.919191599,40567.8244906392,3788.04457972352,15609.983981266,1968.0,STANDARD CHARTERED
DIAGEO PLC,GB00023307,1101,21/10/1886,23,2025,35994.9011883697,9617225.73821694,1717935.14856296,14774680.1540599,40678.96735225,29632.0,35994.9011883697,40678.96735225,9617.225738216941,1717.9351485629602,14774.6801540599,1886.0,DIAGEO
RECKITT BENCKISER GROUP PLC,GB06270876,7010,39239,35,2025,25068.0,7781000.0,3182000.0,14205000.0,40356.246409405,36200.0,25068.0,40356.246409405,7781.0,3182.0,14205.0,2006.0,RECKITT BENCKISER
NATIONAL WESTMINSTER BANK PLC - NATWEST,GB00929027,6419,25569,17,2025,449539.0,24129000.0,4198000.0,13613000.0,,54200.0,449539.0,,24129.0,4198.0,13613.0,1969.0,NATIONAL WESTMINSTER BANK NATWEST
WPP PLC (NEW),GBJE111714,7311,2005,49,2025,24075.0,2772000.0,-215000.0,13550000.0,3640.95795825,98655.0,24075.0,3640.95795825,2772.0,-215.0,13550.0,1904.0,WPP NEW
KINGFISHER PLC,GB01664812,4719,30210,23,2025,11398.0,6158000.0,245000.0,12971000.0,5770.507631625,69720.0,11398.0,5770.507631625,6158.0,245.0,12971.0,1981.0,KINGFISHER
JD SPORTS FASHION PLC,GB01888425,4764,31099,15,2025,9791.0,3440000.0,436000.0,12694000.0,4045.111961349,96084.0,9791.0,4045.111961349,3440.0,436.0,12694.0,1984.0,JD SPORTS FASHION
JOHNSON MATTHEY PLC,GB00033774,2059,04/11/1891,16,2025,5974.0,2016000.0,-96000.0,13128000.0,3188.017500045,10037.0,5974.0,3188.017500045,2016.0,-96.0,13128.0,1891.0,JOHNSON MATTHEY
BUNZL PLC,GB00358948,4639,14632,21,2025,8572.2,2792800.0,459200.0,11845400.0,6730.629340246,26777.0,8572.2,6730.629340246,2792.8,459.2,11845.4,1939.0,BUNZL
HALEON PLC,GB13691224,2120,44489,29,2025,32630.0,16484000.0,1667000.0,11044000.0,33381.965959084,24384.0,32630.0,33381.965959084,16484.0,1667.0,11044.0,2020.0,HALEON
EASYJET PLC,GB03959649,5110,36609,21,2025,11507.0,3498000.0,494000.0,10141000.0,3517.166414795,18968.0,11507.0,3517.166414795,3498.0,494.0,10141.0,1999.0,EASYJET
SSE PLC,GBSC117119,3511,32599,24,2025,35353.6,16401300.0,1208700.0,10223800.0,31456.07374132,15197.0,35353.6,31456.07374132,16401.3,1208.7,10223.8,1988.0,SSE
RELX PLC,GB00077536,6311,1244,20,2025,14757.0,2390000.0,2078000.0,9590000.0,55083.000716556,37600.0,14757.0,55083.000716556,2390.0,2078.0,9590.0,1902.0,RELX
BALFOUR BEATTY PLC,GB00395826,4299,16588,21,2025,6093.0,1152000.0,263000.0,9489000.0,3504.153498042,26000.0,6093.0,3504.153498042,1152.0,263.0,9489.0,1944.0,BALFOUR BEATTY
LONDON STOCK EXCHANGE GROUP PLC,GB05369106,8411,2005,22,2025,796704.0,22168000.0,1249000.0,9375000.0,45691.729160594,28516.0,796704.0,45691.729160594,22168.0,1249.0,9375.0,1904.0,LONDON STOCK EXCHANGE
QUILTER PLC,GB06404270,6420,39374,19,2025,76542.0,1466000.0,120000.0,9364000.0,,3147.0,76542.0,,1466.0,120.0,9364.0,2006.0,QUILTER
CURRYS PLC,GB07105905,6190,40162,19,2025,5423.0,2243000.0,108000.0,8706000.0,1301.25186151,24457.0,5423.0,1301.25186151,2243.0,108.0,8706.0,2009.0,CURRYS
LEGAL & GENERAL GROUP PLC,GB01417162,6511,1836,31,2025,582268.0,2283000.0,616000.0,9222000.0,14921.345475231,,582268.0,14921.345475231,2283.0,616.0,9222.0,1904.0,LEGAL GENERAL
COMPUTACENTER PLC,GB03110569,6209,34974,26,2025,4063.9,897900.0,153700.0,9193900.0,3112.947097242,20217.0,4063.9,3112.947097242,897.9,153.7,9193.9,1994.0,COMPUTACENTER
INCHCAPE PLC,GB00609782,4511,21412,19,2025,5849.0,1340000.0,272000.0,9123000.0,2774.773615687,16209.0,5849.0,2774.773615687,1340.0,272.0,9123.0,1957.0,INCHCAPE
PRUDENTIAL PLC,GB01397169,6511,1848,25,2025,157701.416439951,14950773.5550908,3061203.77160706,8234556.39461185,29164.305923002,,157701.416439951,29164.305923002,14950.7735550908,3061.20377160706,8234.556394611851,1904.0,PRUDENTIAL
HARBOUR ENERGY PLC,GBSC234781,0610,37468,24,2025,21621.6560639389,4612243.41019505,-135260.763882613,7625882.95714009,2769.934554273,2846.0,21621.6560639389,2769.934554273,4612.24341019505,-135.26076388261302,7625.88295714009,2001.0,HARBOUR ENERGY
