DV,Model,Variable,Coef,SE,t,p,WithinR2,N
ROA,M1_baseline,GenderDiv,0.0287,0.0513,0.56,0.576,0.0929,433
ROA,M1_baseline,FirmSize,0.0437,0.027,1.616,0.1069,0.0929,433
ROA,M1_baseline,Leverage,-0.1481,0.0844,-1.753,0.0804,0.0929,433
ROA,M2_interaction,GenderDiv,0.0052,0.0531,0.098,0.9221,0.0315,433
ROA,M2_interaction,GenderDiv_x_Post,0.0421,0.052,0.809,0.4193,0.0315,433
ROA,M2_interaction,FirmSize,0.0439,0.027,1.625,0.105,0.0315,433
ROA,M2_interaction,Leverage,-0.1468,0.0851,-1.725,0.0855,0.0315,433
ROA,M3a_threshold40,CriticalMass40,-0.0033,0.0078,-0.43,0.6678,0.0934,433
ROA,M3a_threshold40,FirmSize,0.0439,0.0269,1.633,0.1033,0.0934,433
ROA,M3a_threshold40,Leverage,-0.1462,0.0843,-1.735,0.0837,0.0934,433
ROA,M3b_quadratic,GenderDiv,-0.0498,0.1398,-0.356,0.7218,0.0926,433
ROA,M3b_quadratic,GenderDivSq,0.0975,0.147,0.663,0.5076,0.0926,433
ROA,M3b_quadratic,FirmSize,0.0438,0.027,1.619,0.1063,0.0926,433
ROA,M3b_quadratic,Leverage,-0.1471,0.0858,-1.714,0.0874,0.0926,433
TobinQ,M1_baseline,GenderDiv,0.4193,0.4529,0.926,0.3551,-0.0147,433
TobinQ,M1_baseline,FirmSize,0.0231,0.4073,0.057,0.9547,-0.0147,433
TobinQ,M1_baseline,Leverage,-0.6483,0.9304,-0.697,0.4864,-0.0147,433
TobinQ,M2_interaction,GenderDiv,0.5304,0.5222,1.016,0.3105,0.0245,433
TobinQ,M2_interaction,GenderDiv_x_Post,-0.1986,0.7603,-0.261,0.7941,0.0245,433
TobinQ,M2_interaction,FirmSize,0.0224,0.409,0.055,0.9564,0.0245,433
TobinQ,M2_interaction,Leverage,-0.6542,0.9357,-0.699,0.485,0.0245,433
TobinQ,M3a_threshold40,CriticalMass40,0.1459,0.0667,2.187,0.0294,-0.019,433
TobinQ,M3a_threshold40,FirmSize,0.025,0.406,0.062,0.9509,-0.019,433
TobinQ,M3a_threshold40,Leverage,-0.7137,0.9182,-0.777,0.4375,-0.019,433
TobinQ,M3b_quadratic,GenderDiv,1.5771,1.2378,1.274,0.2035,-0.0173,433
TobinQ,M3b_quadratic,GenderDivSq,-1.438,1.5277,-0.941,0.3472,-0.0173,433
TobinQ,M3b_quadratic,FirmSize,0.0221,0.4084,0.054,0.9569,-0.0173,433
TobinQ,M3b_quadratic,Leverage,-0.6632,0.9337,-0.71,0.478,-0.0173,433
